Country Name,2015 [YR2015],2019 [YR2019]
Germany,81686611,83092962
Ukraine,45167350,44474512
Germany,0.865702643950251,0.22551987421288
Ukraine,-0.231768289564786,-0.484656962511515
Germany,357410,357580
Ukraine,603550,603550
Germany,..,16.1
Ukraine,..,..
Germany,3740019453237.37,4105521692666.65
Ukraine,119857800361.306,139084746178.16
Germany,45780,49410
Ukraine,2800,3310
Germany,3977709151007.17,5021458874669.97
Ukraine,449239721496.96,611906063612.544
Germany,48690,60430
Ukraine,10490,14560
Germany,8.1,7.9
Ukraine,10,9.7
Germany,80.6414634146341,81.2926829268293
Ukraine,71.189512195122,71.8273170731707
Germany,1.5,1.54
Ukraine,1.506,1.228
Germany,8.318,7.524
Ukraine,28.585,16.547
Germany,..,..
Ukraine,..,..
Germany,97.1,96.2
Ukraine,..,..
Germany,3.9,3.7
Ukraine,9.4,8.5
Germany,..,..
Ukraine,..,..
Germany,97,97
Ukraine,56,93
Germany,102.09285736084,99.6325531005859
Ukraine,88.5759582519531,89.0533981323242
Germany,102.192413330078,101.152557373047
Ukraine,90.5028991699219,84.4568328857422
Germany,0.966109991073608,0.965369999408722
Ukraine,..,..
Germany,0.1,0.1
Ukraine,..,..
Germany,114190,114190
Ukraine,96570,96840
Germany,135.729493317365,147.171678496675
Ukraine,9.99351935328485,9.6210002630069
Germany,3817.54941455461,..
Ukraine,..,..
Germany,..,..
Ukraine,..,..
Germany,3357585719351.56,3889177589254.9
Ukraine,91030967789.0717,153883047509.577
Germany,1.49193152760772,1.07547163576423
Ukraine,-9.7729872128676,3.19950386354134
Germany,1.85367882408802,2.13030905148273
Ukraine,38.8816797599977,8.24622626642469
Germany,0.684691591379231,0.790850030655333
Ukraine,12.0593761063371,8.96518101437243
Germany,27.1097885783397,26.9911142709931
Ukraine,21.7279577419459,22.5804196823995
Germany,46.920738356608,47.1275808768289
Ukraine,52.5976795082231,41.2316912560049
Germany,39.3254862566007,41.1908085811906
Ukraine,55.2089367899327,49.2795430350714
Germany,19.742943248584,21.8697450570074
Ukraine,15.9333160342442,14.8903574828309
Germany,12.8198586997469,12.8351721735927
Ukraine,26.1904488912491,24.8490746500426
Germany,9,9
Ukraine,5,6
Germany,51.1022095463096,53.9490388867014
Ukraine,6.28312555486929,..
Germany,1.13733842666332,1.26215025653133
Ukraine,3.25118076341283,3.52015241588676
Germany,117.4073504,128.9265144
Ukraine,142.0030379,130.6294363
Germany,17.8243752766447,16.3869399648547
Ukraine,8.03896421995305,5.48014872729842
Germany,70.8049830656037,70.0248301215208
Ukraine,83.096996370812,72.0378246948228
Germany,100,100.1989858339
Ukraine,100,100.9032200926
Germany,..,..
Ukraine,118566228266.3,124900214919.8
Germany,..,..
Ukraine,31.334783979043,8.95614166872464
Germany,397921,360560
Ukraine,-21937,-7812
Germany,14320879460.6063,17778354320.1297
Ukraine,627000000,575000000
Germany,62475577277.7991,73974461220.6158
Ukraine,-198000000,5796000000
Germany,..,..
Ukraine,32.0884438778441,25.1757692970513
Germany,41103.2564363768,46805.1384334439
Ukraine,2124.66259765625,3661.45776367188
Germany,68388393318.9342,98812746279.9771
Ukraine,236000000,-5175000000
Germany,0.514426137125456,1.44565976888253
Ukraine,48.6998646434424,7.88671745611133
